"place_ID","longitude","latitude","population","cumulative_cases_today","adj_case_rate","cumulative_deaths_today","adj_death_rate","cumulative_persons_tested_today","adj_test_rate","cumulative_persons_pos_today","adj_test_pos_rate","geo_merge"
"Santa Monica",-118.481816,34.023052,92446,1635,1709,48,35,42163,43968,1432,1505,"City of Santa Monica"
"Sierra Madre",-118.050332,34.168709,10989,143,1304,5,26,3779,36205,134,1211,"City of Sierra Madre"
"Signal Hill",-118.168269,33.803005,11797,425,3654,4,29,4123,35085,413,3542,"City of Signal Hill"
"South El Monte",-118.048315,34.049352,20885,1308,6225,18,100,7030,33351,1279,6083,"City of South El Monte"
"South Gate",-118.192526,33.944713,98155,6858,6894,83,110,37276,37565,6598,6632,"City of South Gate"
"South Pasadena",-118.157289,34.11024,26053,464,1754,27,83,10514,41331,417,1606,"City of South Pasadena"
"Temple City",-118.057952,34.102167,36455,855,2211,48,84,10261,27493,826,2140,"City of Temple City"
"Torrance",-118.341633,33.834625,149268,2243,1501,77,37,36684,24287,1949,1314,"City of Torrance"
"Vernon",-118.210583,34.001902,209,26,18242,0,0,405,213013,22,16019,"City of Vernon"
"Walnut",-117.859319,34.033461,30532,579,1949,5,9,7539,24059,537,1800,"City of Walnut"
"West Covina",-117.911288,34.055423,108235,4702,4263,76,59,33898,30323,4348,3949,"City of West Covina"
"West Hollywood",-118.371765,34.088278,36951,989,2590,9,15,19245,47857,875,2291,"City of West Hollywood"
"Westlake Village",-118.822005,34.136925,8360,58,695,0,0,505,6242,10,114,"City of Westlake Village"
"Whittier",-118.018806,33.967844,87432,4034,4542,61,66,27546,31143,3762,4241,"City of Whittier"
"Adams Normandie",-118.302397,34.029122,8202,433,5122,5,58,2927,34496,415,4904,"Los Angeles - Adams-Normandie"
"Alsace",-118.362349,34.029571,12445,569,4343,3,34,3980,31092,564,4294,"Los Angeles - Alsace"
"Angeles National Forest",-118.279007,34.275218,40,2,1576,0,0,7,4569,2,1576,"Los Angeles - Angeles National Forest"
"Angelino Heights",-118.251986,34.068331,2502,102,4190,1,38,1417,53814,104,4312,"Los Angeles - Angelino Heights"
"Arleta",-118.431775,34.241478,34370,2564,7266,29,99,15155,42936,2500,7106,"Los Angeles - Arleta"
"Atwater Village",-118.258308,34.119421,14666,441,2996,8,41,7540,51376,438,2987,"Los Angeles - Atwater Village"
