"place_ID","longitude","latitude","population","cumulative_cases_today","adj_case_rate","cumulative_deaths_today","adj_death_rate","cumulative_persons_tested_today","adj_test_rate","cumulative_persons_pos_today","adj_test_pos_rate","geo_merge"
"Little Bangladesh",-118.300377,34.065378,28343,865,3014,7,25,9883,34459,834,2896,"Los Angeles - Little Bangladesh"
"Little Tokyo",-118.241598,34.046994,3133,147,5346,1,15,2358,84946,139,4809,"Los Angeles - Little Tokyo"
"Longwood",-118.343548,34.036097,4304,202,4654,0,0,1805,41276,186,4260,"Los Angeles - Longwood"
"Los Feliz",-118.299672,34.131749,21608,408,2084,3,8,12225,61859,378,1946,"Los Angeles - Los Feliz"
"Manchester Square",-118.311191,33.967273,8536,336,4055,6,51,3058,36185,326,3932,"Los Angeles - Manchester Square"
"Mandeville Canyon",-118.508629,34.091814,3124,47,1728,0,0,1613,64951,38,1451,"Los Angeles - Mandeville Canyon"
"Mar Vista",-118.436957,34.013245,42471,633,1559,8,15,17779,42696,597,1481,"Los Angeles - Mar Vista"
"Marina Peninsula",-118.460393,33.972411,4360,61,1858,1,12,2043,59562,53,1748,"Los Angeles - Marina Peninsula"
"Melrose",-118.334586,34.082723,77696,3178,4032,82,105,35586,43825,2979,3785,"Los Angeles - Melrose"
"Midcity",-118.353944,34.049526,15030,446,2980,21,126,6765,44827,414,2777,"Los Angeles - Mid-city"
"Miracle Mile",-118.353469,34.059456,17985,334,1719,6,33,8549,44856,299,1541,"Los Angeles - Miracle Mile"
"Mission Hills",-118.457528,34.266942,24124,1611,6440,59,181,10896,44165,1589,6357,"Los Angeles - Mission Hills"
"Mt Washington",-118.216378,34.099553,24145,951,3891,19,74,10782,44415,941,3847,"Los Angeles - Mt. Washington"
"North Hills",-118.478218,34.238739,61575,3412,5445,58,107,22362,35813,3331,5308,"Los Angeles - North Hills"
"North Hollywood",-118.390769,34.190006,151421,7393,4695,90,66,59363,37124,7091,4507,"Los Angeles - North Hollywood"
"Northridge",-118.52853,34.237368,69797,2770,3873,51,58,27166,37787,2682,3753,"Los Angeles - Northridge"
"Pacific Palisades",-118.531425,34.046284,21291,262,1524,4,9,10082,54939,226,1322,"Los Angeles - Pacific Palisades"
"Pacoima",-118.416768,34.265724,76979,6718,8676,73,127,34083,44328,6674,8602,"Los Angeles - Pacoima"
"Palisades Highlands",-118.548762,34.089984,3846,60,1879,0,0,1560,48451,54,1809,"Los Angeles - Palisades Highlands"
"Palms",-118.412847,34.023755,43877,896,2210,31,94,19241,44646,826,2052,"Los Angeles - Palms"
"Panorama City",-118.444601,34.224297,75250,5200,6876,105,187,28696,37857,5021,6602,"Los Angeles - Panorama City"
"Park La Brea",-118.355627,34.069731,13580,217,1311,1,8,4775,31569,207,1250,"Los Angeles - Park La Brea"
"Pico Union",-118.280491,34.045762,41842,2648,6304,100,286,15084,35246,2539,6026,"Los Angeles - Pico-Union"
"Playa Del Rey",-118.446368,33.961018,3196,50,1743,0,0,1282,43583,45,1580,"Los Angeles - Playa Del Rey"
"Playa Vista",-118.414497,33.979496,10947,220,2004,0,0,5534,49799,199,1776,"Los Angeles - Playa Vista"
"Porter Ranch",-118.557024,34.279694,35588,802,2382,7,11,12550,35908,741,2204,"Los Angeles - Porter Ranch"
"Rancho Park",-118.429114,34.036458,6560,142,2454,0,0,3496,58379,136,2364,"Los Angeles - Rancho Park"
"Regent Square",-118.38321,34.03281,2780,70,2449,0,0,985,33474,70,2441,"Los Angeles - Regent Square"
"Reseda",-118.538571,34.198926,76617,4279,5469,109,129,33664,42568,4201,5381,"Los Angeles - Reseda"
"Reseda Ranch",-118.552574,34.21498,4636,230,4753,1,23,1884,39287,223,4572,"Los Angeles - Reseda Ranch"
"Reynier Village",-118.387153,34.036336,4228,69,1747,0,0,1717,40682,65,1650,"Los Angeles - Reynier Village"
"San Pedro",-118.284679,33.736684,78038,2810,3612,30,35,20830,26371,2444,3142,"Los Angeles - San Pedro"
"Shadow Hills",-118.359629,34.254439,4442,137,3170,0,0,1721,37647,132,3082,"Los Angeles - Shadow Hills"
"Sherman Oaks",-118.439071,34.15242,87254,2102,2622,32,31,40816,48624,1937,2423,"Los Angeles - Sherman Oaks"
"South Carthay",-118.374921,34.056936,10595,232,2696,2,12,4728,51244,198,2226,"Los Angeles - South Carthay"
"South Park",-118.274297,33.999717,37961,2998,8045,33,134,13899,37614,2937,7875,"Los Angeles - South Park"
"St Elmo Village",-118.342305,34.042791,4584,237,5254,8,264,1931,41996,228,5039,"Los Angeles - St Elmo Village"
"Studio City",-118.389205,34.137441,22440,476,2481,11,41,12114,57519,418,2187,"Los Angeles - Studio City"
"Sun Valley",-118.355481,34.227522,52483,3185,5921,37,67,20474,38092,3157,5878,"Los Angeles - Sun Valley"
"Sunland",-118.329287,34.255065,20408,847,4219,31,107,7698,36819,775,3881,"Los Angeles - Sunland"
"Sycamore Square",-118.343701,34.058007,647,9,1650,0,0,361,65932,8,1571,"Los Angeles - Sycamore Square"
"Sylmar",-118.447155,34.313096,82398,6137,7347,107,155,36949,44204,6057,7238,"Los Angeles - Sylmar"
