geo_merge,cases_final,case_rate_final,adj_case_rate_final,deaths_final,death_rate_final,adj_death_rate_final,population
City of Pomona,9883,6338,6278,159,102,124,155931
City of Rancho Palos Verdes,482,1128,1238,11,26,12,42747
City of Redondo Beach,1040,1514,1597,13,19,20,68697
City of Rolling Hills,16,825,1099,0,0,0,1940
City of Rolling Hills Estates,79,974,1396,3,37,18,8113
City of Rosemead,1601,2893,2856,33,60,45,55350
City of San Dimas,1114,3227,3186,17,49,36,34516
City of San Fernando,1947,7911,7753,24,98,118,24612
City of San Gabriel,1139,2781,2605,102,249,169,40954
City of San Marino,145,1092,1097,3,23,15,13277
City of Santa Clarita,7219,3275,3296,69,31,34,220424
City of Santa Fe Springs,988,5380,5398,10,54,48,18364
City of Santa Monica,1694,1832,1767,50,54,37,92446
City of Sierra Madre,164,1492,1431,5,46,26,10989
City of Signal Hill,434,3679,3720,4,34,29,11797
City of South El Monte,1357,6497,6450,18,86,100,20885
City of South Gate,7166,7301,7200,83,85,110,98155
City of South Pasadena,483,1854,1833,27,104,83,26053
City of Temple City,881,2417,2285,48,132,84,36455
City of Torrance,2327,1559,1562,77,52,37,149268
City of Vernon,27,12919,18689,0,0,0,209
City of Walnut,603,1975,2019,5,16,9,30532
City of West Covina,4887,4515,4434,76,70,59,108235
City of West Hollywood,1006,2723,2647,9,24,15,36951
City of Westlake Village,58,694,695,0,0,0,8360
City of Whittier,4236,4845,4777,62,71,68,87432
Los Angeles - Adams-Normandie,448,5462,5305,5,61,58,8202
Los Angeles - Alsace,589,4733,4497,3,24,34,12445
Los Angeles - Angeles National Forest,2,5000,1576,0,0,0,40
Los Angeles - Angelino Heights,103,4117,4242,1,40,38,2502
Los Angeles - Arleta,2697,7847,7635,29,84,99,34370
Los Angeles - Atwater Village,456,3109,3099,8,55,41,14666
Los Angeles - Baldwin Hills,986,3168,3208,29,93,75,31125
Los Angeles - Bel Air,142,1685,1902,0,0,0,8429
Los Angeles - Beverly Crest,241,1924,2354,2,16,9,12525
Los Angeles - Beverlywood,283,2148,2256,0,0,0,13173
Los Angeles - Boyle Heights,6790,7815,7801,88,101,120,86884
Los Angeles - Brentwood,579,1870,1805,5,16,14,30955
Los Angeles - Brookside,10,1721,1829,1,172,118,581
Los Angeles - Cadillac-Corning,234,3286,3241,2,28,39,7121
Los Angeles - Canoga Park,3566,5462,5418,75,115,150,65289
Los Angeles - Carthay,399,2778,3681,19,132,69,14363
Los Angeles - Central,3173,8138,8250,47,121,187,38992
Los Angeles - Century City,229,1790,2141,2,16,7,12792
Los Angeles - Century Palms/Cove,2355,6974,7053,23,68,102,33766
Los Angeles - Chatsworth,1339,3613,3749,36,97,63,37061
Los Angeles - Cheviot Hills,154,1679,1848,2,22,10,9171
Los Angeles - Chinatown,278,3466,3579,3,37,21,8021
Los Angeles - Cloverdale/Cochran,545,3745,3603,5,34,37,14553
Los Angeles - Country Club Park,585,3861,3624,36,238,177,15153
Los Angeles - Crenshaw District,522,3775,3815,4,29,18,13829
Los Angeles - Crestview,329,2894,2934,22,194,170,11368
Los Angeles - Del Rey,741,2475,2547,9,30,23,29936
Los Angeles - Downtown,1526,5548,5792,19,69,55,27507
Los Angeles - Eagle Rock,1209,3054,3000,28,71,50,39589
Los Angeles - East Hollywood,1127,3848,3652,49,167,144,29287
