geo_merge,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
Los Angeles - Harbor City,7701,26491.0,26260,855,2941,2930,29070.0
Los Angeles - Harbor Gateway,13053,29938.0,29443,1689,3874,3801,43600.0
Los Angeles - Harbor Pines,634,26318.0,26460,51,2117,2153,2409.0
Los Angeles - Harvard Heights,6023,33396.0,32648,872,4835,4752,18035.0
Los Angeles - Harvard Park,15638,41223.0,41086,2791,7357,7295,37935.0
Los Angeles - Highland Park,21479,44386.0,43365,2249,4648,4561,48391.0
Los Angeles - Historic Filipinotown,6474,46676.0,43810,777,5602,5311,13870.0
Los Angeles - Hollywood,30361,44482.0,39329,2215,3245,3012,68254.0
Los Angeles - Hollywood Hills,14850,50452.0,54441,619,2103,2419,29434.0
Los Angeles - Hyde Park,11485,40240.0,39920,1360,4765,4713,28541.0
Los Angeles - Jefferson Park,3144,38945.0,38622,486,6020,5946,8073.0
Los Angeles - Koreatown,17280,33428.0,31995,1916,3706,3629,51693.0
Los Angeles - Lafayette Square,1803,39548.0,38566,220,4826,4789,4559.0
Los Angeles - Lake Balboa,17472,41397.0,40733,2135,5059,5025,42206.0
Los Angeles - Lakeview Terrace,5916,45047.0,44579,959,7302,7241,13133.0
Los Angeles - Leimert Park,6104,40066.0,39417,571,3748,3749,15235.0
Los Angeles - Lincoln Heights,14678,45029.0,44280,1944,5964,5857,32597.0
Los Angeles - Little Armenia,3633,45271.0,41204,386,4810,4390,8025.0
Los Angeles - Little Bangladesh,10256,36185.0,35804,924,3260,3219,28343.0
Los Angeles - Little Tokyo,2403,76700.0,86749,147,4692,5057,3133.0
Los Angeles - Longwood,1871,43471.0,42803,219,5088,5018,4304.0
Los Angeles - Los Feliz,12471,57715.0,63142,411,1902,2120,21608.0
Los Angeles - Manchester Square,3161,37031.0,37439,359,4206,4329,8536.0
Los Angeles - Mandeville Canyon,1650,52817.0,66439,42,1344,1581,3124.0
Los Angeles - Mar Vista,18273,43025.0,43915,664,1563,1640,42471.0
Los Angeles - Marina Peninsula,2086,47844.0,61090,59,1353,1856,4360.0
Los Angeles - Melrose,36499,46977.0,44971,3233,4161,4109,77696.0
Los Angeles - Mid-city,6957,46287.0,46136,459,3054,3085,15030.0
Los Angeles - Miracle Mile,8755,48679.0,46006,328,1824,1686,17985.0
Los Angeles - Mission Hills,11326,46949.0,46004,1755,7275,7039,24124.0
Los Angeles - Mt. Washington,11111,46018.0,45779,1067,4419,4362,24145.0
Los Angeles - North Hills,23332,37892.0,37370,3702,6012,5901,61575.0
Los Angeles - North Hollywood,61628,40700.0,38593,7898,5216,5025,151421.0
Los Angeles - Northridge,28114,40280.0,39189,2896,4149,4045,69797.0
Los Angeles - Pacific Palisades,10377,48739.0,56667,252,1184,1463,21291.0
Los Angeles - Pacoima,35409,45998.0,46037,7309,9495,9405,76979.0
Los Angeles - Palisades Highlands,1597,41524.0,49663,55,1430,1844,3846.0
Los Angeles - Palms,19716,44935.0,45780,902,2056,2243,43877.0
Los Angeles - Panorama City,29829,39640.0,39348,5452,7245,7171,75250.0
Los Angeles - Park La Brea,4938,36362.0,32691,232,1708,1393,13580.0
Los Angeles - Pico-Union,15762,37670.0,36847,2793,6675,6611,41842.0
Los Angeles - Playa Del Rey,1306,40864.0,44414,46,1439,1669,3196.0
Los Angeles - Playa Vista,5703,52096.0,51330,216,1973,1932,10947.0
Los Angeles - Porter Ranch,12910,36276.0,36984,827,2324,2449,35588.0
Los Angeles - Rancho Park,3620,55183.0,60446,145,2210,2528,6560.0
Los Angeles - Regent Square,1027,36942.0,34950,83,2986,2916,2780.0
Los Angeles - Reseda,34935,45597.0,44199,4603,6008,5884,76617.0
Los Angeles - Reseda Ranch,1974,42580.0,41249,254,5479,5271,4636.0
Los Angeles - Reynier Village,1776,42006.0,42146,77,1821,1981,4228.0
Los Angeles - San Pedro,21553,27619.0,27323,2612,3347,3362,78038.0
Los Angeles - Shadow Hills,1766,39757.0,38655,141,3174,3271,4442.0
Los Angeles - Sherman Oaks,41834,47945.0,49873,2119,2429,2649,87254.0
Los Angeles - Silverlake,27126,61534.0,63304,1202,2727,2851,44083.0
Los Angeles - South Carthay,4855,45824.0,52664,224,2114,2491,10595.0
Los Angeles - South Park,14530,38276.0,39264,3203,8438,8579,37961.0
Los Angeles - St Elmo Village,1995,43521.0,43353,244,5323,5439,4584.0
Los Angeles - Studio City,12390,55214.0,58798,468,2086,2415,22440.0
Los Angeles - Sun Valley,21401,40777.0,39846,3527,6720,6573,52483.0
Los Angeles - Sunland,7922,38818.0,37951,855,4190,4267,20408.0
Los Angeles - Sycamore Square,372,57496.0,67159,10,1546,1813,647.0
Los Angeles - Sylmar,38314,46499.0,45844,6617,8031,7908,82398.0
Los Angeles - Tarzana,14868,48154.0,47697,1297,4201,4200,30876.0
Los Angeles - Temple-Beaudry,16813,42584.0,39901,2151,5448,5262,39482.0
Los Angeles - Thai Town,4030,41085.0,38683,336,3425,3346,9809.0
Los Angeles - Toluca Lake,4481,51482.0,57002,187,2148,2558,8704.0
Los Angeles - Toluca Terrace,572,43798.0,45003,48,3675,3937,1306.0
Los Angeles - Toluca Woods,904,48654.0,55568,42,2260,2530,1858.0
Los Angeles - Tujunga,9469,34049.0,32949,994,3574,3545,27810.0
Los Angeles - University Hills,1199,34966.0,34749,105,3062,3072,3429.0
