"place_ID","cumulative_cases_today","adj_case_rate","cumulative_deaths_today","adj_death_rate","cumulative_persons_tested_today","adj_test_rate","cumulative_persons_pos_today","adj_test_pos_rate"
"Palisades Highlands",37,1048,0,0,1192,35332,32,957
"Palms",625,1554,31,94,15824,36513,560,1404
"Panorama City",3711,4933,101,177,23159,30567,3574,4721
"Park La Brea",146,900,1,8,3894,25734,138,848
"Pico Union",2005,4805,95,269,12362,28853,1907,4548
"Playa Del Rey",32,1219,0,0,1053,35210,32,1183
"Playa Vista",161,1488,0,0,4376,39248,141,1257
"Porter Ranch",508,1518,8,13,9971,27892,462,1391
"Rancho Park",104,1833,0,0,2913,48821,99,1743
"Regent Square",33,1152,0,0,785,26451,34,1176
"Reseda",2846,3627,89,105,27784,34881,2776,3546
"Reseda Ranch",159,3257,0,0,1577,32695,152,3078
"Reynier Village",49,1246,0,0,1427,33932,46,1177
"San Pedro",2205,2821,30,35,17202,21658,1910,2445
"Shadow Hills",93,2180,0,0,1432,30999,89,2103
"Sherman Oaks",1434,1780,31,30,33645,39860,1292,1609
"Silverlake",758,1765,18,35,22880,53025,715,1677
"South Carthay",145,1653,2,12,4014,43598,120,1336
"South Park",2319,6238,31,124,11681,31697,2272,6107
"St Elmo Village",157,3566,8,264,1652,36104,148,3344
"Studio City",315,1596,8,32,9962,47000,263,1331
"Sun Valley",2232,4152,34,63,16482,30618,2194,4084
"Sunland",577,2845,30,106,6375,30129,518,2561
"Sycamore Square",8,1611,0,0,298,52837,7,1273
"Sylmar",4203,5051,93,135,29855,35706,4131,4949
"Tarzana",891,2790,38,77,11769,37236,813,2556
"Temple Beaudry",1391,3404,29,82,13634,32154,1369,3351
"Thai Town",241,2412,2,14,3354,31964,232,2349
"Toluca Lake",131,1783,1,10,3644,45881,120,1662
"Toluca Terrace",28,2280,1,72,445,33599,29,2327
"Toluca Woods",27,1578,0,0,718,44292,23,1399
"Tujunga",704,2518,16,49,7514,25888,636,2278
"University Hills",70,1997,1,19,1021,29735,69,2020
"University Park",1300,4756,20,132,8852,28081,1177,4402
"Valley Glen",879,2854,24,79,8824,28666,798,2604
"Valley Village",616,2513,27,90,9920,40808,555,2258
"Van Nuys",3858,4137,97,131,27657,29199,3617,3857
"Venice",398,1513,3,9,12670,41250,342,1312
"Vermont Knolls",787,4528,17,115,5381,31280,782,4498
"Vermont Square",389,5034,5,66,2648,34454,377,4884
"Vermont Vista",2166,5374,26,91,12558,31411,2190,5436
"Vernon Central",3433,6710,46,132,18076,35790,3412,6634
"Victoria Park",237,2723,3,29,2206,25535,231,2682
"View Heights",59,1611,3,63,1125,30047,61,1694
"Watts",2219,5440,35,133,13307,33261,2241,5467
"Wellington Square",152,3076,2,47,1677,33798,155,3146
"West Adams",1037,3682,43,155,9586,33844,962,3420
"West Hills",709,1778,39,60,12883,32268,613,1580
"West Los Angeles",595,1598,16,46,15468,39807,547,1470
"West Vernon",2724,5069,55,132,18263,33850,2661,4958
"Westchester",524,957,15,26,16496,30719,472,863
"Westlake",2671,4552,149,290,17786,29305,2473,4191
"Westwood",555,853,6,10,21748,32981,512,768
