City,PersonsTested,TestingRate,AdjustedTestingRate,PersonsTestedPositive,PositveTestingRate,AdjustedPositiveTestingRate,Population
Unincorporated - Franklin Canyon,2,16667,10310,0,0,0,NA
Unincorporated - Glendora,122,18485,18175,14,2121,2228,660
Unincorporated - Hacienda Heights,10510,18793,18268,1152,2060,2058,55926
Unincorporated - Harbor Gateway,7,7.00E+05,11647,0,0,0,NA
Unincorporated - Hawthorne,552,21957,21573,60,2387,2314,2514
Unincorporated - Hi Vista,93,8470,9396,9,820,855,1098
Unincorporated - Kagel/Lopez Canyons,544,38527,42006,48,3399,3986,1412
Unincorporated - La Crescenta-Montrose,4988,25191,25934,240,1212,1269,19801
Unincorporated - La Habra Heights,20,2959,4224,7,1036,1883,676
Unincorporated - La Rambla,818,39422,37014,80,3855,3111,2075
Unincorporated - La Verne,469,22990,23136,39,1912,2330,2040
Unincorporated - Ladera Heights,2278,32216,32047,113,1598,1630,7071
Unincorporated - Lake Hughes,145,21707,22326,5,749,1202,668
Unincorporated - Lake Los Angeles,2024,15576,15833,313,2409,2426,12994
Unincorporated - Lake Manor,456,27754,28003,24,1461,1441,1643
Unincorporated - Lennox,5095,22602,22555,776,3442,3423,22542
Unincorporated - Leona Valley,241,13764,12705,22,1256,1149,1751
Unincorporated - Littlerock,760,18901,19107,92,2288,2361,4021
Unincorporated - Littlerock/Juniper Hills,253,19507,19382,20,1542,1811,1297
Unincorporated - Littlerock/Pearblossom,613,17176,17474,101,2830,2880,3569
Unincorporated - Llano,86,9806,8031,3,342,355,877
Unincorporated - Marina del Rey,2727,28977,24375,78,829,648,9411
Unincorporated - Monrovia,910,23448,23064,88,2267,2302,3881
Unincorporated - Newhall,67,30455,28341,23,10455,9647,220
Unincorporated - North Lancaster,225,18781,18534,21,1753,2054,1198
Unincorporated - North Whittier,2045,24462,23971,241,2883,2848,8360
Unincorporated - Northeast San Gabriel,4902,20394,20003,404,1681,1697,24036
Unincorporated - Palmdale,119,14133,14929,21,2494,2738,842
Unincorporated - Palos Verdes Peninsula,119,19163,25737,3,483,729,621
Unincorporated - Pearblossom/Llano,246,12577,12212,23,1176,1086,1956
Unincorporated - Pellissier Village,224,36187,37688,37,5977,5844,619
Unincorporated - Placerita Canyon,27,5870,6561,0,0,0,NA
Unincorporated - Pomona,125,6450,16928,15,774,1946,1938
Unincorporated - Quartz Hill,2215,17163,16879,199,1542,1508,12906
Unincorporated - Rancho Dominguez,845,31755,32410,78,2931,3017,2661
Unincorporated - Roosevelt,132,14178,14795,15,1611,1562,931
Unincorporated - Rosewood,373,29005,29279,36,2799,3164,1286
Unincorporated - Rosewood/East Gardena,308,25817,26516,38,3185,3307,1193
Unincorporated - Rosewood/West Rancho Dominguez,901,26807,26653,0,0,0,NA
Unincorporated - Rowland Heights,8045,15768,14925,781,1531,1540,51022
Unincorporated - San Jose Hills,4577,22635,22261,844,4174,4109,20221
Unincorporated - San Pasqual,333,16364,17088,12,590,631,2035
Unincorporated - Sand Canyon,77,25000,56338,7,2273,5895,308
Unincorporated - Santa Catalina Island,675,252809,271475,24,8989,8977,267
Unincorporated - Santa Monica Mountains,4621,24816,27438,121,650,717,18621
Unincorporated - Saugus,374,241290,223790,33,21290,20527,155
Unincorporated - Saugus/Canyon Country,93,26124,46398,11,3090,6225,356
Unincorporated - South Antelope Valley,74,16264,17131,7,1538,4206,455
Unincorporated - South El Monte,547,30474,29391,100,5571,5265,1795
Unincorporated - South San Gabriel,2215,25034,23330,205,2317,2239,8848
Unincorporated - South Whittier,13746,23211,22647,2101,3548,3449,59222
Unincorporated - Southeast Antelope Valley,150,19206,18543,17,2177,2313,781
Unincorporated - Stevenson Ranch,4431,21134,20286,194,925,921,20966
Unincorporated - Sun Village,1154,19119,19251,188,3115,3228,6036
Unincorporated - Sunrise Village,337,26003,26888,54,4167,4538,1296
Unincorporated - Twin Lakes/Oat Mountain,447,26960,26438,12,724,695,1658
Unincorporated - Val Verde,2213,66878,64913,1768,53430,51740,3309
Unincorporated - Valencia,644,20964,24014,53,1725,2804,3072
Unincorporated - Valinda,5584,23893,23397,886,3791,3684,23371
Unincorporated - View Park/Windsor Hills,3746,32196,32453,163,1401,1486,11635
Unincorporated - Walnut Park,4582,28384,27969,802,4968,4894,16143
Unincorporated - West Antelope Valley,134,8868,8730,6,397,453,1511
Unincorporated - West Carson,5561,25179,23890,443,2006,1835,22086
Unincorporated - West LA,849,89181,84015,22,2311,2649,952
Unincorporated - West Puente Valley,2537,25796,25148,435,4423,4338,9835
Unincorporated - West Rancho Dominguez,323,23767,22900,21,1545,1486,1359
Unincorporated - West Whittier/Los Nietos,7087,26321,25945,1085,4030,3939,26925
Unincorporated - Westfield/Academy Hills,230,17692,16914,8,615,811,1300
Unincorporated - Westhills,227,27056,29141,10,1192,1808,839
Unincorporated - White Fence Farms,630,17106,18060,59,1602,1760,3683
Unincorporated - Whittier,779,20587,19821,73,1929,1904,3784
Unincorporated - Whittier Narrows,9,75000,36471,1,8333,4845,12
Unincorporated - Willowbrook,10776,30865,31401,1658,4749,4806,34913
Unincorporated - Wiseburn,1601,26564,26341,143,2373,2242,6027
