"place_ID","longitude","latitude","population","cumulative_cases_today","adj_case_rate","cumulative_deaths_today","adj_death_rate","cumulative_persons_tested_today","adj_test_rate","cumulative_persons_pos_today","adj_test_pos_rate","geo_merge"
"Angelino Heights",-118.251986,34.068331,2502,102,4190,1,38,1422,54022,104,4312,"Los Angeles - Angelino Heights"
"Arleta",-118.431775,34.241478,34370,2630,7449,29,99,15324,43414,2568,7294,"Los Angeles - Arleta"
"Atwater Village",-118.258308,34.119421,14666,453,3078,8,41,7591,51725,449,3061,"Los Angeles - Atwater Village"
"Baldwin Hills",-118.356095,34.014825,31125,971,3155,29,75,10633,34084,916,2990,"Los Angeles - Baldwin Hills"
"Bel Air",-118.460296,34.098692,8429,140,1853,0,0,3624,47182,124,1673,"Los Angeles - Bel Air"
"Beverly Crest",-118.424404,34.11298,12525,240,2336,2,9,5356,48617,205,2038,"Los Angeles - Beverly Crest"
"Beverlywood",-118.394492,34.044747,13173,280,2233,0,0,6214,49575,250,1976,"Los Angeles - Beverlywood"
"Boyle Heights",-118.20533,34.03815,86884,6667,7658,86,118,36733,42109,6630,7599,"Los Angeles - Boyle Heights"
"Brentwood",-118.485909,34.08524,30955,571,1782,5,14,15619,48671,490,1541,"Los Angeles - Brentwood"
"Brookside",-118.336327,34.058936,581,9,1522,0,0,289,56735,7,1135,"Los Angeles - Brookside"
"Cadillac Corning",-118.381794,34.042513,7121,230,3187,2,39,2409,32768,223,3089,"Los Angeles - Cadillac-Corning"
"Canoga Park",-118.600829,34.208098,65289,3505,5328,75,150,23547,35653,3387,5106,"Los Angeles - Canoga Park"
"Carthay",-118.372894,34.07124,14363,397,3622,18,61,7717,74822,355,3278,"Los Angeles - Carthay"
"Central",-118.258141,34.016399,38992,3122,8125,47,187,14781,38890,3123,8119,"Los Angeles - Central"
"Century City",-118.419399,34.052715,12792,226,2109,2,7,5803,51356,202,1891,"Los Angeles - Century City"
"Century Palms Cove",-118.267985,33.932641,33766,2316,6938,23,102,12191,36633,2314,6949,"Los Angeles - Century Palms/Cove"
"Chatsworth",-118.596089,34.256617,37061,1315,3679,35,62,14875,39477,1259,3552,"Los Angeles - Chatsworth"
"Cheviot Hills",-118.408801,34.041277,9171,152,1819,2,10,4847,56456,131,1543,"Los Angeles - Cheviot Hills"
"Chinatown",-118.240969,34.06146,8021,274,3525,3,21,3135,37532,265,3403,"Los Angeles - Chinatown"
"Cloverdale Cochran",-118.356007,34.038941,14553,531,3513,5,37,5408,35876,519,3438,"Los Angeles - Cloverdale/Cochran"
"Country Club Park",-118.325579,34.054301,15153,579,3582,36,177,5942,37893,548,3392,"Los Angeles - Country Club Park"
"Crenshaw District",-118.335877,34.023057,13829,512,3738,4,18,5610,40540,506,3689,"Los Angeles - Crenshaw District"
"Crestview",-118.378658,34.049595,11368,318,2825,22,170,5477,49883,288,2555,"Los Angeles - Crestview"
"Del Rey",-118.424311,33.989764,29936,715,2452,9,23,11503,38195,654,2254,"Los Angeles - Del Rey"
"Downtown",-118.257803,34.044724,27507,1507,5727,19,55,19260,68582,1417,5348,"Los Angeles - Downtown"
"Eagle Rock",-118.205209,34.135207,39589,1184,2937,28,50,19160,48685,1143,2851,"Los Angeles - Eagle Rock"
"East Hollywood",-118.292538,34.09217,29287,1099,3556,49,144,11348,35913,1021,3304,"Los Angeles - East Hollywood"
"Echo Park",-118.255001,34.082177,14256,468,3288,7,45,8561,57198,467,3296,"Los Angeles - Echo Park"
"El Sereno",-118.177515,34.081112,41808,2209,5218,40,91,17999,42475,2203,5210,"Los Angeles - El Sereno"
"Elysian Park",-118.240334,34.078256,5712,184,3114,0,0,2697,43670,177,3019,"Los Angeles - Elysian Park"
"Elysian Valley",-118.237642,34.092694,10171,426,4071,5,44,4694,44905,418,3995,"Los Angeles - Elysian Valley"
"Encino",-118.501697,34.155925,45172,1274,3057,23,25,20067,46277,1130,2741,"Los Angeles - Encino"
"Exposition",-118.349778,34.026624,3326,119,3419,2,62,1299,37407,118,3404,"Los Angeles - Exposition"
"Exposition Park",-118.297919,34.018599,44917,2215,4956,27,83,15128,32995,2157,4837,"Los Angeles - Exposition Park"
"Faircrest Heights",-118.371706,34.038691,3600,69,1807,1,23,1526,41669,55,1444,"Los Angeles - Faircrest Heights"
"Figueroa Park Square",-118.286739,33.93256,8721,507,5852,6,73,3201,36891,492,5659,"Los Angeles - Figueroa Park Square"
"Florence Firestone",-118.267376,33.974897,47445,3640,7720,38,106,18361,39296,3645,7722,"Los Angeles - Florence-Firestone"
"Glassell Park",-118.231508,34.118242,31604,1158,3612,15,39,13804,43638,1145,3581,"Los Angeles - Glassell Park"
"Gramercy Place",-118.309409,33.951267,10764,419,4041,6,44,3965,37095,412,3978,"Los Angeles - Gramercy Place"
"Granada Hills",-118.504152,34.291056,58191,2377,4016,79,98,22498,38062,2269,3830,"Los Angeles - Granada Hills"
"Green Meadows",-118.263144,33.950734,21505,1408,6554,15,99,7825,36863,1412,6541,"Los Angeles - Green Meadows"
"Hancock Park",-118.32887,34.069715,17039,385,2412,4,22,7688,47790,345,2180,"Los Angeles - Hancock Park"
"Harbor City",-118.296386,33.781993,29070,817,2792,12,33,7360,25064,748,2561,"Los Angeles - Harbor City"
"Harbor Gateway",-118.29466,33.866487,43600,1608,3609,18,47,12398,27958,1505,3386,"Los Angeles - Harbor Gateway"
"Harbor Pines",-118.304543,33.78262,2409,54,2313,0,0,602,25088,46,1929,"Los Angeles - Harbor Pines"
"Harvard Heights",-118.304644,34.043582,18035,826,4524,30,200,5744,31125,782,4265,"Los Angeles - Harvard Heights"
"Harvard Park",-118.298016,33.981859,37935,2471,6475,27,78,14847,39028,2457,6430,"Los Angeles - Harvard Park"
"Highland Park",-118.187118,34.112134,48391,1989,4033,25,57,20733,41834,1971,3995,"Los Angeles - Highland Park"
"Historic Filipinotown",-118.271077,34.070245,13870,718,4896,16,104,6234,42134,696,4740,"Los Angeles - Historic Filipinotown"
"Hollywood",-118.35386,34.100299,68254,2144,2877,20,31,29354,37884,2003,2703,"Los Angeles - Hollywood"
"Hollywood Hills",-118.346365,34.120516,29434,624,2353,6,19,14440,52802,562,2188,"Los Angeles - Hollywood Hills"
"Hyde Park",-118.328048,33.983083,28541,1230,4261,14,42,10979,38141,1197,4147,"Los Angeles - Hyde Park"
"Jefferson Park",-118.322769,34.02425,8073,439,5368,1,9,3002,36854,435,5313,"Los Angeles - Jefferson Park"
"Koreatown",-118.304346,34.054588,51693,1820,3435,36,69,16554,30616,1744,3288,"Los Angeles - Koreatown"
"Lafayette Square",-118.334892,34.043401,4559,184,3981,3,64,1717,36695,184,3984,"Los Angeles - Lafayette Square"
"Lake Balboa",-118.498229,34.198949,42206,1913,4494,21,57,16710,38920,1876,4412,"Los Angeles - Lake Balboa"
"Lakeview Terrace",-118.37398,34.274649,13133,900,6807,26,225,5639,42504,871,6556,"Los Angeles - Lakeview Terrace"
"Leimert Park",-118.32453,34.006034,15235,538,3529,9,47,5853,37742,496,3247,"Los Angeles - Leimert Park"
"Lincoln Heights",-118.205364,34.081157,32597,1751,5247,56,146,14127,42588,1721,5174,"Los Angeles - Lincoln Heights"
"Little Armenia",-118.304855,34.094457,8025,501,5543,50,514,3544,40035,364,4117,"Los Angeles - Little Armenia"
"Little Bangladesh",-118.300377,34.065378,28343,857,2988,7,25,9829,34258,826,2871,"Los Angeles - Little Bangladesh"
"Little Tokyo",-118.241598,34.046994,3133,146,5227,1,15,2347,84458,138,4690,"Los Angeles - Little Tokyo"
"Longwood",-118.343548,34.036097,4304,200,4609,0,0,1793,41003,185,4244,"Los Angeles - Longwood"
"Los Feliz",-118.299672,34.131749,21608,403,2062,3,8,12188,61690,374,1933,"Los Angeles - Los Feliz"
"Manchester Square",-118.311191,33.967273,8536,329,3965,6,51,3032,35844,319,3841,"Los Angeles - Manchester Square"
"Mandeville Canyon",-118.508629,34.091814,3124,46,1712,0,0,1603,64538,37,1435,"Los Angeles - Mandeville Canyon"
"Mar Vista",-118.436957,34.013245,42471,618,1528,8,15,17671,42429,582,1450,"Los Angeles - Mar Vista"
"Marina Peninsula",-118.460393,33.972411,4360,61,1858,1,12,2034,59415,53,1748,"Los Angeles - Marina Peninsula"
"Melrose",-118.334586,34.082723,77696,3143,3992,81,104,35419,43617,2943,3744,"Los Angeles - Melrose"
"Midcity",-118.353944,34.049526,15030,439,2927,21,126,6725,44563,406,2720,"Los Angeles - Mid-city"
"Miracle Mile",-118.353469,34.059456,17985,332,1710,6,33,8519,44691,297,1532,"Los Angeles - Miracle Mile"
"Mission Hills",-118.457528,34.266942,24124,1578,6305,59,181,10790,43721,1555,6218,"Los Angeles - Mission Hills"
"Mt Washington",-118.216378,34.099553,24145,940,3844,19,74,10735,44220,930,3800,"Los Angeles - Mt. Washington"
"North Hills",-118.478218,34.238739,61575,3346,5340,58,107,22146,35469,3266,5205,"Los Angeles - North Hills"
"North Hollywood",-118.390769,34.190006,151421,7240,4598,90,66,58869,36810,6938,4410,"Los Angeles - North Hollywood"
"Northridge",-118.52853,34.237368,69797,2696,3768,51,58,26904,37403,2606,3644,"Los Angeles - Northridge"
"Pacific Palisades",-118.531425,34.046284,21291,257,1483,4,9,10021,54581,221,1281,"Los Angeles - Pacific Palisades"
"Pacoima",-118.416768,34.265724,76979,6514,8410,73,127,33611,43724,6463,8326,"Los Angeles - Pacoima"
"Palisades Highlands",-118.548762,34.089984,3846,60,1879,0,0,1549,48144,53,1727,"Los Angeles - Palisades Highlands"
"Palms",-118.412847,34.023755,43877,881,2174,31,94,19110,44349,809,2013,"Los Angeles - Palms"
"Panorama City",-118.444601,34.224297,75250,5104,6751,105,187,28431,37507,4924,6476,"Los Angeles - Panorama City"
