geo_merge,cases_final,case_rate_final,adj_case_rate_final,deaths_final,death_rate_final,adj_death_rate_final,population
Los Angeles - Playa Vista,216,1973,1962,0,0,0,10947
Los Angeles - Porter Ranch,788,2214,2340,7,20,11,35588
Los Angeles - Rancho Park,140,2134,2422,0,0,0,6560
Los Angeles - Regent Square,69,2482,2415,0,0,0,2780
Los Angeles - Reseda,4218,5505,5390,109,142,129,76617
Los Angeles - Reseda Ranch,227,4896,4696,1,22,23,4636
Los Angeles - Reynier Village,69,1632,1747,0,0,0,4228
Los Angeles - San Pedro,2767,3546,3555,30,38,35,78038
Los Angeles - Shadow Hills,134,3017,3129,0,0,0,4442
Los Angeles - Sherman Oaks,2073,2376,2589,32,37,31,87254
Los Angeles - Silverlake,1115,2529,2612,23,52,45,44083
Los Angeles - South Carthay,223,2105,2602,2,19,12,10595
Los Angeles - South Park,2940,7745,7899,33,87,134,37961
Los Angeles - St Elmo Village,235,5127,5204,8,175,264,4584
Los Angeles - Studio City,466,2077,2411,11,49,41,22440
Los Angeles - Sun Valley,3116,5937,5790,37,70,67,52483
Los Angeles - Sunland,826,4047,4117,31,152,107,20408
Los Angeles - Sycamore Square,9,1391,1650,0,0,0,647
Los Angeles - Sylmar,5968,7243,7144,107,130,155,82398
Los Angeles - Tarzana,1285,4162,4110,39,126,79,30876
Los Angeles - Temple-Beaudry,1946,4929,4778,33,84,93,39482
Los Angeles - Thai Town,312,3181,3055,4,41,29,9809
Los Angeles - Toluca Lake,189,2171,2589,2,23,20,8704
Los Angeles - Toluca Terrace,41,3139,3400,1,77,72,1306
Los Angeles - Toluca Woods,40,2153,2348,0,0,0,1858
Los Angeles - Tujunga,964,3466,3422,18,65,54,27810
Los Angeles - University Hills,96,2800,2785,1,29,19,3429
Los Angeles - University Park,1579,5751,5903,24,87,161,27456
Los Angeles - Valley Glen,1304,4344,4276,21,70,70,30016
Los Angeles - Valley Village,784,3172,3215,30,121,99,24720
Los Angeles - Van Nuys,5550,5955,5940,113,121,150,93194
Los Angeles - Venice,602,1777,2257,4,12,11,33885
Los Angeles - Vermont Knolls,1065,6192,6134,19,110,122,17200
Los Angeles - Vermont Square,528,6896,6789,6,78,81,7657
Los Angeles - Vermont Vista,2864,6954,7055,27,66,94,41186
Los Angeles - Vernon Central,4363,8391,8505,47,90,131,51998
Los Angeles - Victoria Park,367,4370,4235,3,36,29,8399
Los Angeles - View Heights,82,2220,2227,3,81,63,3694
Los Angeles - Watts,2918,6838,7140,39,91,149,42674
Los Angeles - Wellington Square,206,4191,4208,3,61,65,4915
Los Angeles - West Adams,1398,5060,4986,45,163,158,27630
Los Angeles - West Hills,1019,2513,2609,49,121,77,40545
Los Angeles - West Los Angeles,855,2272,2309,20,53,56,37636
Los Angeles - West Vernon,3616,6741,6711,57,106,135,53644
Los Angeles - Westchester,801,1552,1465,21,41,37,51603
Los Angeles - Westlake,3301,5561,5580,157,265,309,59355
Los Angeles - Westwood,873,1613,1318,7,13,13,54109
Los Angeles - Wholesale District,3179,8799,7763,37,102,123,36129
Los Angeles - Wilmington,2816,4985,4957,28,50,62,56487
Los Angeles - Wilshire Center,1800,3588,3485,39,78,76,50170
Los Angeles - Winnetka,2406,4646,4538,28,54,56,51786
Los Angeles - Woodland Hills,1747,2567,2637,35,51,31,68055
Unincorporated - Acton,146,1832,2093,3,38,25,7971
Unincorporated - Agua Dulce,67,1611,1722,0,0,0,4158
Unincorporated - Altadena,1167,2675,2743,21,48,37,43620
Unincorporated - Anaverde,53,3515,3614,0,0,0,1508
Unincorporated - Angeles National Forest,9,723,702,0,0,0,1245
Unincorporated - Arcadia,168,2105,2164,3,38,26,7981
Unincorporated - Athens Village,405,8270,8429,13,265,282,4897
Unincorporated - Athens-Westmont,2320,5466,5504,30,71,76,42442
Unincorporated - Avocado Heights,435,6421,6292,4,59,64,6775
Unincorporated - Azusa,886,5564,5434,7,44,50,15923
Unincorporated - Bassett,1010,6816,6718,10,67,68,14817
Unincorporated - Bouquet Canyon,16,1491,1719,1,93,82,1073
Unincorporated - Bradbury,9,8333,384,2,1852,271,108
Unincorporated - Canyon Country,287,3714,3907,2,26,31,7728
Unincorporated - Castaic,2480,9121,8436,5,18,22,27191
Unincorporated - Cerritos,31,5281,5155,0,0,0,587
Unincorporated - Claremont,29,4131,5279,4,570,429,702
