geo_merge,persons_tested_final,testing_rate_final,adj_testing_rate_final,persons_tested_pos_final,pos_testing_rate_final,adj_pos_testing_rate_final,population
Los Angeles - Woodland Hills,29432,43247.0,42690,1621,2382,2469,68055.0
Unincorporated - Acton,1938,24313.0,24284,133,1669,1933,7971.0
Unincorporated - Agua Dulce,1061,25517.0,26683,61,1467,1566,4158.0
Unincorporated - Altadena,15981,36637.0,36947,1021,2341,2409,43620.0
Unincorporated - Anaverde,347,23011.0,24663,53,3515,3652,1508.0
Unincorporated - Angeles National Forest,159,12771.0,11739,7,562,539,1245.0
Unincorporated - Arcadia,2274,28493.0,28722,169,2118,2181,7981.0
Unincorporated - Athens Village,2311,47192.0,47431,370,7556,7674,4897.0
Unincorporated - Athens-Westmont,14769,34798.0,34906,2290,5396,5449,42442.0
Unincorporated - Avocado Heights,2127,31395.0,30827,399,5889,5767,6775.0
Unincorporated - Azusa,4797,30126.0,29454,815,5118,4970,15923.0
Unincorporated - Bassett,5005,33779.0,33112,941,6351,6242,14817.0
Unincorporated - Bouquet Canyon,218,20317.0,20527,12,1118,1135,1073.0
Unincorporated - Bradbury,117,108333.0,8816,6,5556,336,108.0
Unincorporated - Canyon Country,2824,36542.0,39271,244,3157,3321,7728.0
Unincorporated - Castaic,6298,23162.0,23111,542,1993,1998,27191.0
Unincorporated - Cerritos,192,32709.0,33384,28,4770,4628,587.0
Unincorporated - Claremont,214,30484.0,33664,26,3704,4751,702.0
Unincorporated - Covina,5272,31346.0,30731,716,4257,4150,16819.0
Unincorporated - Covina (Charter Oak),3853,29314.0,28336,497,3781,3758,13144.0
Unincorporated - Del Aire,1423,32392.0,31627,104,2367,2366,4393.0
Unincorporated - Del Rey,253,79560.0,116914,9,2830,4080,318.0
Unincorporated - Del Sur,499,20663.0,22516,43,1781,1829,2415.0
Unincorporated - Desert View Highlands,734,29442.0,29685,101,4051,3992,2493.0
Unincorporated - Duarte,1669,37692.0,37465,336,7588,7359,4428.0
Unincorporated - East Covina,103,31307.0,43646,12,3647,6872,329.0
Unincorporated - East La Mirada,1470,27778.0,27479,171,3231,3168,5292.0
Unincorporated - East Lancaster,31,27193.0,29539,2,1754,1846,114.0
Unincorporated - East Los Angeles,51439,41063.0,40986,9715,7755,7729,125269.0
Unincorporated - East Pasadena,1521,23754.0,23580,73,1140,1122,6403.0
Unincorporated - East Rancho Dominguez,4921,32147.0,32482,950,6206,6253,15308.0
Unincorporated - East Whittier,1257,23690.0,23276,147,2770,2716,5306.0
Unincorporated - El Camino Village,2279,25924.0,26054,246,2798,2808,8791.0
Unincorporated - El Monte,46,31724.0,40493,8,5517,7611,145.0
Unincorporated - Elizabeth Lake,236,14208.0,15167,16,963,1312,1661.0
Unincorporated - Florence-Firestone,24434,37762.0,38023,5155,7967,8047,64705.0
Unincorporated - Franklin Canyon,2,16667.0,10310,0,0,0,
Unincorporated - Glendora,174,26364.0,25975,21,3182,3319,660.0
Unincorporated - Hacienda Heights,14146,25294.0,24757,1675,2995,3036,55926.0
Unincorporated - Harbor Gateway,8,800000.0,11759,0,0,0,
Unincorporated - Hawthorne,703,27963.0,27546,89,3540,3499,2514.0
Unincorporated - Hi Vista,115,10474.0,11837,11,1002,1084,1098.0
Unincorporated - Kagel/Lopez Canyons,723,51204.0,56531,59,4178,4768,1412.0
Unincorporated - La Crescenta-Montrose,6339,32014.0,33270,332,1677,1753,19801.0
Unincorporated - La Habra Heights,15,2219.0,2847,1,148,116,676.0
Unincorporated - La Rambla,945,45542.0,43409,91,4386,3591,2075.0
Unincorporated - La Verne,652,31961.0,32017,51,2500,2825,2040.0
Unincorporated - Ladera Heights,2872,40617.0,41886,149,2107,2352,7071.0
Unincorporated - Lake Hughes,186,27844.0,29156,12,1796,2170,668.0
Unincorporated - Lake Los Angeles,2811,21633.0,21953,481,3702,3769,12994.0
Unincorporated - Lake Manor,635,38649.0,39680,42,2556,2736,1643.0
Unincorporated - Lennox,6598,29270.0,29277,1117,4955,4981,22542.0
Unincorporated - Leona Valley,311,17761.0,17791,30,1713,1825,1751.0
Unincorporated - Littlerock,1017,25292.0,25479,152,3780,3708,4021.0
Unincorporated - Littlerock/Juniper Hills,328,25289.0,25375,33,2544,2640,1297.0
Unincorporated - Littlerock/Pearblossom,858,24040.0,24369,158,4427,4594,3569.0
Unincorporated - Llano,125,14253.0,12189,12,1368,1222,877.0
Unincorporated - Marina del Rey,3672,39018.0,33001,116,1233,1058,9411.0
Unincorporated - Monrovia,1129,29090.0,28513,107,2757,2732,3881.0
Unincorporated - Newhall,95,43182.0,41144,36,16364,15763,220.0
Unincorporated - North Lancaster,301,25125.0,24114,42,3506,3515,1198.0
Unincorporated - North Whittier,2689,32165.0,31628,359,4294,4252,8360.0
Unincorporated - Northeast San Gabriel,6351,26423.0,25973,584,2430,2470,24036.0
Unincorporated - Palmdale,162,19240.0,20253,28,3325,4031,842.0
Unincorporated - Palos Verdes Peninsula,147,23671.0,31496,7,1127,2121,621.0
Unincorporated - Pearblossom/Llano,337,17229.0,17030,30,1534,1474,1956.0
Unincorporated - Pellissier Village,291,47011.0,48412,61,9855,9663,619.0
Unincorporated - Placerita Canyon,30,6522.0,7327,0,0,0,
Unincorporated - Pomona,160,8256.0,22144,26,1342,3775,1938.0
Unincorporated - Quartz Hill,3095,23981.0,23921,363,2813,2847,12906.0
Unincorporated - Rancho Dominguez,1093,41075.0,42760,112,4209,4401,2661.0
Unincorporated - Roosevelt,196,21053.0,21932,29,3115,3165,931.0
Unincorporated - Rosewood,470,36547.0,36671,49,3810,4218,1286.0
Unincorporated - Rosewood/East Gardena,399,33445.0,34968,50,4191,4638,1193.0
Unincorporated - Rosewood/West Rancho Dominguez,1126,33502.0,33326,0,0,0,
Unincorporated - Rowland Heights,11041,21640.0,20655,1078,2113,2136,51022.0
Unincorporated - San Jose Hills,6030,29820.0,29333,1206,5964,5874,20221.0
