date_use,cumulative_persons_tested_all,cumulative_positive_persons_all,percent_positive_persons_cum,persons_tested,positive_persons,percent_positive_persons_date,avg_persons_tested,avg_positive_persons,percent_positive_persons_cum_avg_date
2020-10-23,3020070,279760,9.3%,49337,2069,4.2%,42534.0,1705.0,4%
2020-10-22,3000967,278348,9.3%,50990,1856,3.6%,42301.0,1661.0,3.9%
2020-10-21,2982712,276988,9.3%,55272,1913,3.5%,42039.0,1643.0,3.9%
2020-10-20,2963968,275547,9.3%,53335,1892,3.5%,41646.0,1608.0,3.9%
2020-10-19,2945124,274085,9.3%,53425,2223,4.2%,41193.0,1556.0,3.8%
2020-10-18,2924936,272433,9.3%,11340,678,6%,40542.0,1506.0,3.7%
2020-10-17,2919619,271912,9.3%,24039,1302,5.4%,40544.0,1492.0,3.7%
2020-10-16,2909393,270978,9.3%,47706,1764,3.7%,40624.0,1501.0,3.7%
2020-10-15,2890938,269753,9.3%,49155,1729,3.5%,40343.0,1485.0,3.7%
2020-10-14,2873373,268480,9.3%,52524,1671,3.2%,40083.0,1455.0,3.6%
2020-10-13,2855726,267231,9.4%,50160,1525,3%,40009.0,1457.0,3.6%
2020-10-12,2838641,266092,9.4%,48870,1871,3.8%,39923.0,1434.0,3.6%
2020-10-11,2820634,264682,9.4%,11352,579,5.1%,39847.0,1426.0,3.6%
2020-10-10,2815299,264234,9.4%,24598,1365,5.5%,39815.0,1415.0,3.6%
2020-10-09,2804274,263219,9.4%,45740,1654,3.6%,39809.0,1376.0,3.5%
2020-10-08,2787245,262003,9.4%,47335,1523,3.2%,39578.0,1352.0,3.4%
2020-10-07,2770980,260885,9.4%,52010,1682,3.2%,38570.0,1339.0,3.5%
2020-10-06,2753438,259627,9.4%,49558,1366,2.8%,37505.0,1312.0,3.5%
2020-10-05,2736439,258574,9.4%,48338,1815,3.8%,36362.0,1315.0,3.6%
2020-10-04,2718897,257219,9.5%,11124,497,4.5%,34653.0,1259.0,3.6%
2020-10-03,2713576,256828,9.5%,24560,1098,4.5%,34400.0,1262.0,3.7%
2020-10-02,2702788,256025,9.5%,44118,1485,3.4%,33853.0,1256.0,3.7%
2020-10-01,2686297,255020,9.5%,40283,1429,3.5%,32762.0,1254.0,3.8%
2020-09-30,2672444,254003,9.5%,44557,1493,3.4%,32733.0,1261.0,3.9%
2020-09-29,2657508,252887,9.5%,41553,1388,3.3%,32684.0,1244.0,3.8%
2020-09-28,2642738,251838,9.5%,36376,1425,3.9%,32849.0,1230.0,3.7%
2020-09-27,2629174,250814,9.5%,9355,519,5.5%,33697.0,1254.0,3.7%
2020-09-26,2624445,250400,9.5%,20731,1050,5.1%,33675.0,1254.0,3.7%
2020-09-25,2615208,249685,9.5%,36478,1471,4%,33609.0,1243.0,3.7%
2020-09-24,2600305,248716,9.6%,40084,1484,3.7%,33568.0,1225.0,3.6%
2020-09-23,2585212,247614,9.6%,44209,1368,3.1%,33479.0,1208.0,3.6%
2020-09-22,2569313,246594,9.6%,42713,1294,3%,32925.0,1221.0,3.7%
2020-09-21,2553533,245584,9.6%,42306,1591,3.8%,32360.0,1214.0,3.8%
2020-09-20,2536661,244403,9.6%,9201,522,5.7%,31788.0,1211.0,3.8%
2020-09-19,2532167,244015,9.6%,20274,974,4.8%,31486.0,1180.0,3.7%
2020-09-18,2523191,243338,9.6%,36192,1339,3.7%,31471.0,1172.0,3.7%
2020-09-17,2508515,242391,9.7%,39461,1365,3.5%,31429.0,1167.0,3.7%
2020-09-16,2493471,241404,9.7%,40325,1459,3.6%,30954.0,1150.0,3.7%
2020-09-15,2478363,240350,9.7%,38761,1245,3.2%,30762.0,1143.0,3.7%
2020-09-14,2463985,239434,9.7%,38303,1571,4.1%,31292.0,1204.0,3.8%
2020-09-13,2448538,238308,9.7%,7086,308,4.3%,27157.0,1046.0,3.9%
