date_use,total_cases,new_case,avg_cases,total_deaths,new_deaths,avg_deaths
2020-09-24,253724,1188,963.0,6213,19,18.0
2020-09-23,252536,1124,945.0,6194,27,18.0
2020-09-22,251412,1097,950.0,6167,18,17.0
2020-09-21,250315,1232,930.0,6149,15,17.0
2020-09-20,249083,449,918.0,6134,15,17.0
2020-09-19,248634,703,898.0,6119,16,18.0
2020-09-18,247931,951,887.0,6103,15,18.0
2020-09-17,246980,1058,891.0,6088,18,20.0
2020-09-16,245922,1157,872.0,6070,20,21.0
2020-09-15,244765,963,854.0,6050,20,22.0
2020-09-14,243802,1147,880.0,6030,18,23.0
2020-09-13,242655,307,770.0,6012,19,24.0
2020-09-12,242348,629,779.0,5993,19,25.0
2020-09-11,241719,979,754.0,5974,25,25.0
2020-09-10,240740,925,752.0,5949,25,26.0
2020-09-09,239815,1030,764.0,5924,28,26.0
2020-09-08,238785,1143,790.0,5896,28,25.0
2020-09-07,237642,375,780.0,5868,27,25.0
2020-09-06,237267,373,902.0,5841,21,25.0
2020-09-05,236894,451,907.0,5820,22,27.0
2020-09-04,236443,967,963.0,5798,30,29.0
2020-09-03,235476,1011,973.0,5768,24,28.0
2020-09-02,234465,1207,997.0,5744,23,29.0
2020-09-01,233258,1078,1024.0,5721,28,29.0
2020-08-31,232180,1226,1048.0,5693,29,30.0
2020-08-30,230954,412,1092.0,5664,33,29.0
2020-08-29,230542,838,1104.0,5631,34,28.0
2020-08-28,229704,1042,1112.0,5597,22,29.0
2020-08-27,228662,1175,1150.0,5575,31,30.0
2020-08-26,227487,1397,1172.0,5544,28,31.0
2020-08-25,226090,1248,1174.0,5516,30,33.0
2020-08-24,224842,1533,1204.0,5486,25,33.0
2020-08-23,223309,498,1202.0,5461,29,35.0
2020-08-22,222811,889,1208.0,5432,37,36.0
2020-08-21,221922,1309,1236.0,5395,32,35.0
2020-08-20,220613,1330,1253.0,5363,37,35.0
2020-08-19,219283,1413,1278.0,5326,41,35.0
2020-08-18,217870,1456,1309.0,5285,29,33.0
2020-08-17,216414,1518,1339.0,5256,39,35.0
2020-08-16,214896,540,1414.0,5217,36,36.0
2020-08-15,214356,1087,1429.0,5181,32,36.0
2020-08-14,213269,1425,1457.0,5149,34,37.0
2020-08-13,211844,1509,1522.0,5115,31,37.0
2020-08-12,210335,1629,1571.0,5084,32,37.0
