date_use,cumulative_tests,cumulative_tests_pos,percent_positive_tests_cum,tests,tests_pos,percent_positive_tests,avg_tests,avg_pos_tests,percent_positive_avg_tests
2020-06-10,1147807,89411,7.8%,29437,2115,7.2%,24306.0,1617.0,6.7%
2020-06-09,1118370,87296,7.8%,31007,1817,5.9%,23454.0,1563.0,6.7%
2020-06-08,1087363,85479,7.9%,28168,2023,7.2%,22085.0,1541.0,7%
2020-06-07,1059195,83456,7.9%,7326,541,7.4%,20773.0,1442.0,6.9%
2020-06-06,1051869,82915,7.9%,20879,1339,6.4%,20618.0,1427.0,6.9%
2020-06-05,1030990,81576,7.9%,28543,1788,6.3%,19941.0,1406.0,7.1%
2020-06-04,1002447,79788,8%,24781,1693,6.8%,19533.0,1415.0,7.2%
2020-06-03,977666,78095,8%,23475,1738,7.4%,19566.0,1423.0,7.3%
2020-06-02,954191,76357,8%,21424,1666,7.8%,20056.0,1451.0,7.2%
2020-06-01,932767,74691,8%,18980,1328,7%,21234.0,1576.0,7.4%
2020-05-31,913787,73363,8%,6241,434,7%,19472.0,1494.0,7.7%
2020-05-30,907546,72929,8%,16140,1194,7.4%,19463.0,1502.0,7.7%
2020-05-29,891406,71735,8%,25688,1852,7.2%,19553.0,1482.0,7.6%
2020-05-28,865718,69883,8.1%,25015,1752,7%,19471.0,1432.0,7.4%
2020-05-27,840703,68131,8.1%,26907,1928,7.2%,19327.0,1413.0,7.3%
2020-05-26,813796,66203,8.1%,29666,2546,8.6%,19105.0,1432.0,7.5%
2020-05-25,784130,63657,8.1%,6645,753,11.3%,18348.0,1300.0,7.1%
2020-05-24,777485,62904,8.1%,6183,487,7.9%,21182.0,1454.0,6.9%
2020-05-23,771302,62417,8.1%,16770,1053,6.3%,21328.0,1465.0,6.9%
2020-05-22,754532,61364,8.1%,25109,1504,6%,21510.0,1467.0,6.8%
2020-05-21,729423,59860,8.2%,24010,1623,6.8%,22219.0,1522.0,6.8%
2020-05-20,705413,58237,8.3%,25355,2058,8.1%,23054.0,1571.0,6.8%
2020-05-19,680058,56179,8.3%,24366,1623,6.7%,23199.0,1480.0,6.4%
2020-05-18,655692,54556,8.3%,26478,1831,6.9%,23346.0,1467.0,6.3%
2020-05-17,629214,52725,8.4%,7207,564,7.8%,22725.0,1405.0,6.2%
2020-05-16,622007,52161,8.4%,18046,1069,5.9%,22575.0,1393.0,6.2%
2020-05-15,603961,51092,8.5%,30070,1886,6.3%,22216.0,1377.0,6.2%
2020-05-14,573891,49206,8.6%,29855,1966,6.6%,20973.0,1286.0,6.1%
2020-05-13,544036,47240,8.7%,26369,1424,5.4%,20163.0,1183.0,5.9%
2020-05-12,517667,45816,8.9%,25397,1527,6%,20169.0,1174.0,5.8%
2020-05-11,492270,44289,9%,22129,1399,6.3%,19715.0,1163.0,5.9%
2020-05-10,470141,42890,9.1%,6158,479,7.8%,19551.0,1108.0,5.7%
2020-05-09,463983,42411,9.1%,15533,955,6.1%,19722.0,1112.0,5.6%
2020-05-08,448450,41456,9.2%,21372,1252,5.9%,19866.0,1095.0,5.5%
2020-05-07,427078,40204,9.4%,24185,1247,5.2%,19916.0,1081.0,5.4%
2020-05-06,402893,38957,9.7%,26411,1359,5.1%,19525.0,1074.0,5.5%
2020-05-05,376482,37598,10%,22219,1451,6.5%,17902.0,1058.0,5.9%
2020-05-04,354263,36147,10.2%,20977,1010,4.8%,16824.0,1032.0,6.1%
2020-05-03,333286,35137,10.5%,7355,509,6.9%,16142.0,1084.0,6.7%
2020-05-02,325931,34628,10.6%,16542,835,5%,15812.0,1091.0,6.9%
2020-05-01,309389,33793,10.9%,21724,1159,5.3%,15023.0,1131.0,7.5%
2020-04-30,287665,32634,11.3%,21444,1192,5.6%,13665.0,1149.0,8.4%
2020-04-29,266221,31442,11.8%,15053,1252,8.3%,11821.0,1140.0,9.6%
2020-04-28,251168,30190,12%,14675,1270,8.7%,10952.0,1102.0,10.1%
2020-04-27,236493,28920,12.2%,16198,1370,8.5%,10457.0,1075.0,10.3%
2020-04-26,220295,27550,12.5%,5047,562,11.1%,9381.0,1045.0,11.1%
2020-04-25,215248,26988,12.5%,11017,1109,10.1%,9234.0,1034.0,11.2%
2020-04-24,204231,25879,12.7%,12223,1286,10.5%,8614.0,980.0,11.4%
2020-04-23,192008,24593,12.8%,8535,1131,13.3%,8205.0,924.0,11.3%
2020-04-22,183473,23462,12.8%,8968,983,11%,8260.0,890.0,10.8%
2020-04-21,174505,22479,12.9%,11213,1087,9.7%,8299.0,906.0,10.9%
2020-04-20,163292,21392,13.1%,8665,1160,13.4%,7602.0,879.0,11.6%
2020-04-19,154627,20232,13.1%,4019,480,11.9%,7042.0,841.0,11.9%
2020-04-18,150608,19752,13.1%,6672,735,11%,6716.0,822.0,12.2%
2020-04-17,143936,19017,13.2%,9365,892,9.5%,6316.0,791.0,12.5%
2020-04-16,134571,18125,13.5%,8915,896,10.1%,6048.0,772.0,12.8%
2020-04-15,125656,17229,13.7%,9244,1090,11.8%,5823.0,749.0,12.9%
2020-04-14,116412,16139,13.9%,6336,902,14.2%,5312.0,711.0,13.4%
2020-04-13,110076,15237,13.8%,4744,890,18.8%,5091.0,706.0,13.9%
2020-04-12,105332,14347,13.6%,1737,351,20.2%,4951.0,660.0,13.3%
2020-04-11,103595,13996,13.5%,3874,514,13.3%,5000.0,677.0,13.5%
2020-04-10,99721,13482,13.5%,7489,759,10.1%,4923.0,685.0,13.9%
2020-04-09,92232,12723,13.8%,7335,740,10.1%,4689.0,678.0,14.5%
2020-04-08,84897,11983,14.1%,5671,823,14.5%,4408.0,681.0,15.4%
2020-04-07,79226,11160,14.1%,4788,868,18.1%,4356.0,673.0,15.4%
2020-04-06,74438,10292,13.8%,3762,562,14.9%,4357.0,648.0,14.9%
2020-04-05,70676,9730,13.8%,2084,476,22.8%,4451.0,662.0,14.9%
2020-04-04,68592,9254,13.5%,3330,568,17.1%,4367.0,634.0,14.5%
2020-04-03,65262,8686,13.3%,5856,712,12.2%,4330.0,616.0,14.2%
2020-04-02,59406,7974,13.4%,5364,757,14.1%,4043.0,590.0,14.6%
2020-04-01,54042,7217,13.4%,5311,767,14.4%,3754.0,547.0,14.6%
2020-03-31,48731,6450,13.2%,4795,696,14.5%,3467.0,498.0,14.4%
2020-03-30,43936,5754,13.1%,4420,657,14.9%,3257.0,461.0,14.2%
2020-03-29,39516,5097,12.9%,1496,282,18.9%,3103.0,428.0,13.8%
2020-03-28,38020,4815,12.7%,3065,439,14.3%,3057.0,419.0,13.7%
2020-03-27,34955,4376,12.5%,3849,529,13.7%,2803.0,381.0,13.6%
2020-03-26,31106,3847,12.4%,3340,461,13.8%,2631.0,348.0,13.2%
2020-03-25,27766,3386,12.2%,3303,424,12.8%,2506.0,321.0,12.8%
2020-03-24,24463,2962,12.1%,3327,432,13%,2346.0,293.0,12.5%
2020-03-23,21136,2530,12%,3339,428,12.8%,2226.0,269.0,12.1%
2020-03-22,17797,2102,11.8%,1173,222,18.9%,2016.0,241.0,12%
2020-03-21,16624,1880,11.3%,1288,172,13.4%,1950.0,219.0,11.2%
2020-03-20,15336,1708,11.1%,2650,295,11.1%,1856.0,205.0,11%
2020-03-19,12686,1413,11.1%,2461,275,11.2%,1621.0,179.0,11%
2020-03-18,10225,1138,11.1%,2185,227,10.4%,1386.0,155.0,11.2%
2020-03-17,8040,911,11.3%,2483,266,10.7%,1123.0,127.0,11.3%
2020-03-16,5557,645,11.6%,1871,231,12.3%,794.0,92.0,11.6%
2020-03-15,3686,414,11.2%,710,65,9.2%,,,NA%
2020-03-14,2976,349,11.7%,629,74,11.8%,,,NA%
2020-03-13,2347,275,11.7%,1006,118,11.7%,,,NA%
2020-03-12,1341,157,11.7%,818,103,12.6%,,,NA%
2020-03-11,523,54,10.3%,347,33,9.5%,,,NA%
2020-03-10,176,21,11.9%,176,21,11.9%,,,NA%
